source,target,value
15013,15021,24
15013,16001,4
15013,16003,128
15013,16004,137
15013,17001,59
15013,17002,27
15013,17003,28
15013,17004,14
15013,17005,4
15013,17006,53
15013,21002,12
15013,21005,31
15013,21007,595
15013,21008,172
15013,21009,203
15013,21011,46
15013,21013,39
15013,22003,24
15013,22014,10
15013,23001,40
15013,23004,30
15013,23005,32
15013,23006,9
15013,23008,7
15013,23009,17
15013,23011,127
15013,23016,128
15013,23026,9
15013,24002,24
15013,24012,25
15013,24014,27
15013,24018,6
15013,25017,8
15013,26001,78
15013,26006,15
15013,26008,31
15013,26017,58
15013,29004,9
15014,11001,387
15014,11003,164
15014,11004,86
15014,11006,13
15014,11007,5
15014,13002,31
15014,13007,275
15014,13009,181
15014,13010,11
15014,13013,6
15014,14001,1805
15014,14002,10
15014,14003,144
15014,14004,188
15014,15001,143
15014,15002,4912
15014,15003,19
15014,15004,4
15014,15005,7
15014,15007,673
15014,15008,52
15014,15010,47
15014,15011,19
15014,15012,51
15014,15013,67
15014,15014,1808
15014,15015,1156
15014,15016,181
15014,15017,77
15014,15018,135
15014,15019,140
15014,15020,143
15014,15021,138
15014,15022,13
15014,16001,7
15014,16003,378
15014,16004,161
15014,17001,56
15014,17002,139
15014,17003,48
15014,17004,17
15014,17005,43
15014,17006,113
15014,21002,131
15014,21003,16
15014,21005,154
15014,21006,10
15014,21007,16
15014,21008,641
15014,21009,652
15014,21010,93
15014,21011,90
15014,21012,100
15014,21013,12
15014,21014,17
15014,21015,42
15014,21017,208
15014,21018,8
15014,21019,36
15014,21020,9
15014,22001,13
15014,22002,11
15014,22003,85
15014,22005,5
15014,22006,13
15014,22009,5
15014,22013,6
15014,23002,44
15014,23003,4
15014,23005,30
15014,23016,277
15014,23023,13
15014,23024,58
15014,23028,11
15014,24001,20
15014,24007,24
15014,24018,65
15014,25016,12
15014,25022,7
15014,26013,9
15014,26017,13
15015,11001,115
15015,11003,68
15015,11004,18
15015,11005,7
15015,11006,49
15015,11008,29
15015,13007,263
15015,13010,9
15015,14001,178
15015,14003,31
15015,14004,32
15015,15001,44
15015,15002,795
15015,15003,80
15015,15004,116
15015,15007,571
15015,15008,119
15015,15009,5
15015,15010,109
15015,15012,74
15015,15013,136
15015,15014,813
15015,15015,7381
15015,15016,859
15015,15017,274
15015,15018,427
15015,15019,118
15015,15020,128
15015,15021,196
15015,15022,7
15015,16001,46
15015,16002,15
15015,16003,293
15015,16004,51
15015,17001,240
15015,17002,195
15015,17003,42
15015,17004,122
15015,17006,50
15015,21001,21
15015,21002,97
15015,21007,27
15015,21008,132
15015,21009,705
15015,21010,60
15015,21011,17
15015,21012,16
15015,21016,27
15015,21017,32
15015,21019,32
15015,22002,4
15015,22003,75
15015,23006,5
15015,23011,6
15015,23013,25
15015,23014,9
15015,23016,167
15015,23021,22
15015,23023,20
15015,23026,60
15015,23027,62
15015,23028,18
15015,23029,2
15015,23032,32
15015,24006,10
15015,24009,4
15015,24010,25
15015,24014,58
15015,24015,27
15015,24019,139
15015,25001,9
15015,26001,79
15015,26008,26
15015,26009,18
15015,26015,28
15015,27003,12
15015,27006,52
15015,28012,21
15015,28013,56
15015,29016,10
15015,29021,11
15015,29024,10
15015,29026,15
15015,29031,38
15015,29032,94
15016,11001,362
15016,11003,11
15016,11006,20
15016,13007,527
15016,13008,109
15016,14001,206
15016,14003,81
15016,14004,33
15016,15001,39
15016,15002,361
15016,15006,143
15016,15007,1364
15016,15008,70
15016,15009,8
15016,15010,194
15016,15011,1097
15016,15012,429
15016,15013,74
15016,15014,541
15016,15015,1925
15016,15016,1643
15016,15017,1107
