lot,lat,output,iata,city,
-42.345554,-21.656389,4270,3151107,Pirapetinga,
-44.941944,-17.345001,567,3151206,Pirapora,
-43.02639,-21.276388,1213,3151305,Piraúba,
-44.890278,-19.682777,1729,3151404,Pitangui,
-45.958057,-20.465279,333,3151503,Piumhi,
-48.701946,-20.137777,445,3151602,Planura,
-45.965,-21.780832,3296,3151701,Poço Fundo,
-46.56139,-21.787777,552,3151800,Poços de Caldas,
-41.636948,-19.619722,1182,3151909,Pocrane,
-44.93528,-19.224445,4311,3152006,Pompéu,
-42.908611,-20.416388,248,3152105,Ponte Nova,
-45.065556,-16.630556,231,3152131,Ponto Chique,
-41.504166,-16.752777,2017,3152170,Ponto dos Volantes,
-43.028332,-15.743334,395,3152204,Porteirinha,
-43.084442,-20.673332,949,3152303,Porto Firme,
-41.786388,-17.806665,3717,3152402,Poté,
-45.93639,-22.230001,423,3152501,Pouso Alegre,
-44.9725,-22.193611,303,3152600,Pouso Alto,
-44.07972,-21.057499,1423,3152709,Prados,
-48.924168,-19.307222,485,3152808,Prata,
-46.860832,-20.744722,209,3152907,Pratápolis,
-46.378056,-19.751112,439,3153004,Pratinha,
-43.1875,-20.76861,390,3153103,Presidente Bernardes,
-44.058334,-18.637222,82,3153202,Presidente Juscelino,
-43.562222,-18.614445,1071,3153301,Presidente Kubitschek,
-46.418056,-18.417778,554,3153400,Presidente Olegário,
-44.155003,-19.481945,281,3153608,Prudente de Morais,
-45.55722,-19.273611,388,3153707,Quartel Geral,
-43.884445,-20.74,72,3153806,Queluzito,
-43.804165,-19.967222,483,3153905,Raposos,
-42.452499,-20.101944,1969,3154002,Raul Soares,
-42.469166,-21.525,191,3154101,Recreio,
-41.982502,-20.218889,443,3154150,Reduto,
-44.237499,-20.922222,336,3154200,Resende Costa,
-41.25528,-19.325556,770,3154309,Resplendor,
-43.762779,-21.0625,308,3154408,Ressaquinha,
-45.991669,-16.230001,544,3154457,Riachinho,
-43.049442,-16.006111,710,3154507,Riacho dos Machados,
-44.086666,-19.766945,7372,3154606,Ribeirão das Neves,
-45.061943,-21.190556,119,3154705,Ribeirão Vermelho,
-43.789444,-20.087502,110,3154804,Rio Acima,
-42.650833,-20.226112,1191,3154903,Rio Casca,
-40.569721,-16.608334,301,3155108,Rio do Prado,
-42.895836,-20.244722,282,3155009,Rio Doce,
-43.474445,-20.855278,501,3155207,Rio Espera,
-44.307777,-20.265278,283,3155306,Rio Manso,
-43.125275,-21.4575,566,3155405,Rio Novo,
-46.247223,-19.193611,585,3155504,Rio Paranaíba,
-42.539722,-15.609722,953,3155603,Rio Pardo de Minas,
-43.174168,-19.929167,1110,3155702,Rio Piracicaba,
-43.179169,-21.274721,846,3155801,Rio Pomba,
-43.827778,-22.089167,230,3155900,Rio Preto,
-43.009167,-18.293612,622,3156007,Rio Vermelho,
-44.318054,-21.021944,331,3156106,Ritápolis,
-43.019722,-21.629723,93,3156205,Rochedo de Minas,
